# Angular Correlation W(0) for distance_1.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01929 ± 0.000154733
0.000000          0.050000    0.021794    0.080000    0.027129
0.007893          0.030000    0.017059    0.060000    0.023749
0.015787          0.030000    0.017059    0.030000    0.017059
0.023680          0.030000    0.017059    0.070000    0.025515
0.031574          0.020000    0.014000    0.110000    0.031289
0.039467          0.050000    0.021794    0.070000    0.025515
0.047361          0.040000    0.019596    0.090000    0.028618
0.055254          0.030000    0.017059    0.100000    0.030000
0.063148          0.020000    0.014000    0.150000    0.035707
0.071041          0.020000    0.014000    0.110000    0.031289
0.078934          0.000000    0.000000    0.110000    0.031289
0.086828          0.030000    0.017059    0.120000    0.032496
0.094721          0.040000    0.019596    0.150000    0.035707
0.102615          0.080000    0.027129    0.140000    0.034699
0.110508          0.030000    0.017059    0.090000    0.028618
0.118402          0.060000    0.023749    0.130000    0.033630
0.126295          0.050000    0.021794    0.180000    0.038419
0.134189          0.060000    0.023749    0.190000    0.039230
0.142082          0.040000    0.019596    0.200000    0.040000
0.149976          0.040000    0.019596    0.220000    0.041425
0.157869          0.040000    0.019596    0.210000    0.040731
0.165762          0.030000    0.017059    0.180000    0.038419
0.173656          0.040000    0.019596    0.210000    0.040731
0.181549          0.080000    0.027129    0.210000    0.040731
0.189443          0.050000    0.021794    0.150000    0.035707
0.197336          0.020000    0.014000    0.180000    0.038419
0.205230          0.070000    0.025515    0.190000    0.039230
0.213123          0.050000    0.021794    0.270000    0.044396
0.221017          0.030000    0.017059    0.220000    0.041425
0.228910          0.030000    0.017059    0.200000    0.040000
0.236803          0.100000    0.030000    0.100000    0.030000
0.244697          0.050000    0.021794    0.210000    0.040731
0.252590          0.080000    0.027129    0.220000    0.041425
0.260484          0.070000    0.025515    0.300000    0.045826
0.268377          0.080000    0.027129    0.210000    0.040731
0.276271          0.110000    0.031289    0.180000    0.038419
0.284164          0.060000    0.023749    0.170000    0.037563
0.292058          0.080000    0.027129    0.170000    0.037563
0.299951          0.030000    0.017059    0.190000    0.039230
0.307845          0.030000    0.017059    0.140000    0.034699
0.315738          0.070000    0.025515    0.130000    0.033630
0.323631          0.050000    0.021794    0.190000    0.039230
0.331525          0.070000    0.025515    0.210000    0.040731
0.339418          0.060000    0.023749    0.190000    0.039230
0.347312          0.060000    0.023749    0.060000    0.023749
0.355205          0.080000    0.027129    0.220000    0.041425
0.363099          0.030000    0.017059    0.190000    0.039230
0.370992          0.030000    0.017059    0.190000    0.039230
0.378886          0.060000    0.023749    0.200000    0.040000
0.386779          0.030000    0.017059    0.200000    0.040000
0.394672          0.080000    0.027129    0.180000    0.038419
0.402566          0.040000    0.019596    0.240000    0.042708
0.410459          0.090000    0.028618    0.180000    0.038419
0.418353          0.090000    0.028618    0.150000    0.035707
0.426246          0.080000    0.027129    0.150000    0.035707
0.434140          0.080000    0.027129    0.190000    0.039230
0.442033          0.040000    0.019596    0.140000    0.034699
0.449927          0.070000    0.025515    0.190000    0.039230
0.457820          0.040000    0.019596    0.160000    0.036661
0.465713          0.040000    0.019596    0.190000    0.039230
0.473607          0.020000    0.014000    0.260000    0.043863
0.481500          0.030000    0.017059    0.200000    0.040000
0.489394          0.040000    0.019596    0.160000    0.036661
0.497287          0.060000    0.023749    0.160000    0.036661
0.505181          0.030000    0.017059    0.160000    0.036661
0.513074          0.070000    0.025515    0.200000    0.040000
0.520968          0.060000    0.023749    0.140000    0.034699
0.528861          0.050000    0.021794    0.180000    0.038419
0.536755          0.030000    0.017059    0.180000    0.038419
0.544648          0.050000    0.021794    0.080000    0.027129
0.552541          0.040000    0.019596    0.100000    0.030000
0.560435          0.030000    0.017059    0.160000    0.036661
0.568328          0.030000    0.017059    0.110000    0.031289
0.576222          0.030000    0.017059    0.140000    0.034699
0.584115          0.040000    0.019596    0.110000    0.031289
0.592009          0.030000    0.017059    0.170000    0.037563
0.599902          0.070000    0.025515    0.210000    0.040731
0.607796          0.030000    0.017059    0.080000    0.027129
0.615689          0.060000    0.023749    0.150000    0.035707
0.623582          0.030000    0.017059    0.130000    0.033630
0.631476          0.040000    0.019596    0.110000    0.031289
0.639369          0.050000    0.021794    0.120000    0.032496
0.647263          0.060000    0.023749    0.110000    0.031289
0.655156          0.000000    0.000000    0.140000    0.034699
0.663050          0.050000    0.021794    0.080000    0.027129
0.670943          0.040000    0.019596    0.070000    0.025515
0.678837          0.070000    0.025515    0.150000    0.035707
0.686730          0.030000    0.017059    0.080000    0.027129
0.694624          0.040000    0.019596    0.120000    0.032496
0.702517          0.080000    0.027129    0.110000    0.031289
0.710410          0.040000    0.019596    0.120000    0.032496
0.718304          0.030000    0.017059    0.110000    0.031289
0.726197          0.040000    0.019596    0.120000    0.032496
0.734091          0.010000    0.009950    0.100000    0.030000
0.741984          0.010000    0.009950    0.140000    0.034699
0.749878          0.060000    0.023749    0.070000    0.025515
0.757771          0.040000    0.019596    0.060000    0.023749
0.765665          0.020000    0.014000    0.140000    0.034699
0.773558          0.040000    0.019596    0.160000    0.036661
0.781451          0.020000    0.014000    0.100000    0.030000
0.789345          0.040000    0.019596    0.090000    0.028618
0.797238          0.000000    0.000000    0.090000    0.028618
0.805132          0.010000    0.009950    0.060000    0.023749
0.813025          0.030000    0.017059    0.090000    0.028618
0.820919          0.030000    0.017059    0.080000    0.027129
0.828812          0.060000    0.023749    0.050000    0.021794
0.836706          0.040000    0.019596    0.110000    0.031289
0.844599          0.060000    0.023749    0.070000    0.025515
0.852492          0.020000    0.014000    0.090000    0.028618
0.860386          0.010000    0.009950    0.120000    0.032496
0.868279          0.000000    0.000000    0.050000    0.021794
0.876173          0.000000    0.000000    0.030000    0.017059
0.884066          0.030000    0.017059    0.080000    0.027129
0.891960          0.050000    0.021794    0.100000    0.030000
0.899853          0.020000    0.014000    0.080000    0.027129
0.907747          0.000000    0.000000    0.070000    0.025515
0.915640          0.010000    0.009950    0.090000    0.028618
0.923534          0.040000    0.019596    0.030000    0.017059
0.931427          0.010000    0.009950    0.060000    0.023749
0.939320          0.010000    0.009950    0.070000    0.025515
0.947214          0.020000    0.014000    0.110000    0.031289
0.955107          0.000000    0.000000    0.050000    0.021794
0.963001          0.010000    0.009950    0.050000    0.021794
0.970894          0.010000    0.009950    0.040000    0.019596
0.978788          0.030000    0.017059    0.050000    0.021794
0.986681          0.010000    0.009950    0.020000    0.014000
0.994575          0.020000    0.014000    0.040000    0.019596
1.002468          0.000000    0.000000    0.070000    0.025515
1.010361          0.020000    0.014000    0.100000    0.030000
1.018255          0.020000    0.014000    0.050000    0.021794
1.026148          0.020000    0.014000    0.010000    0.009950
1.034042          0.010000    0.009950    0.030000    0.017059
1.041935          0.030000    0.017059    0.110000    0.031289
1.049829          0.000000    0.000000    0.040000    0.019596
1.057722          0.020000    0.014000    0.040000    0.019596
1.065616          0.000000    0.000000    0.030000    0.017059
1.073509          0.000000    0.000000    0.010000    0.009950
1.081402          0.010000    0.009950    0.050000    0.021794
1.089296          0.020000    0.014000    0.010000    0.009950
1.097189          0.010000    0.009950    0.030000    0.017059
1.105083          0.010000    0.009950    0.010000    0.009950
1.112976          0.010000    0.009950    0.010000    0.009950
1.120870          0.000000    0.000000    0.010000    0.009950
1.128763          0.010000    0.009950    0.030000    0.017059
1.136657          0.020000    0.014000    0.010000    0.009950
1.144550          0.000000    0.000000    0.010000    0.009950
1.152444          0.030000    0.017059    0.010000    0.009950
1.160337          0.020000    0.014000    0.030000    0.017059
