# Angular Correlation W(0) for distance_1.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01466 ± 1.96775e-06
0.000000          0.103907    0.000788    0.091840    0.000746
0.007893          0.103633    0.000787    0.092000    0.000746
0.015787          0.103420    0.000786    0.092653    0.000749
0.023680          0.104193    0.000789    0.092493    0.000748
0.031574          0.103947    0.000788    0.092827    0.000749
0.039467          0.104447    0.000790    0.090467    0.000741
0.047361          0.104233    0.000789    0.091960    0.000746
0.055254          0.104207    0.000789    0.091300    0.000744
0.063148          0.103033    0.000785    0.091533    0.000745
0.071041          0.103453    0.000786    0.092360    0.000748
0.078934          0.104453    0.000790    0.093020    0.000750
0.086828          0.107800    0.000801    0.095180    0.000758
0.094721          0.123880    0.000851    0.109553    0.000806
0.102615          0.139160    0.000894    0.123400    0.000849
0.110508          0.153707    0.000931    0.136933    0.000888
0.118402          0.165413    0.000959    0.147560    0.000916
0.126295          0.174940    0.000981    0.156360    0.000938
0.134189          0.180493    0.000993    0.164013    0.000956
0.142082          0.187940    0.001009    0.173253    0.000977
0.149976          0.194713    0.001022    0.177173    0.000986
0.157869          0.201493    0.001036    0.182493    0.000997
0.165762          0.205787    0.001044    0.186873    0.001006
0.173656          0.209967    0.001052    0.190273    0.001013
0.181549          0.211173    0.001054    0.190367    0.001014
0.189443          0.209580    0.001051    0.189553    0.001012
0.197336          0.211667    0.001055    0.189967    0.001013
0.205230          0.211007    0.001054    0.191300    0.001016
0.213123          0.211213    0.001054    0.191240    0.001015
0.221017          0.210707    0.001053    0.191593    0.001016
0.228910          0.212087    0.001055    0.190567    0.001014
0.236803          0.211240    0.001054    0.193587    0.001020
0.244697          0.211200    0.001054    0.190580    0.001014
0.252590          0.211173    0.001054    0.191973    0.001017
0.260484          0.208353    0.001049    0.190947    0.001015
0.268377          0.209467    0.001051    0.191427    0.001016
0.276271          0.208833    0.001050    0.188727    0.001010
0.284164          0.208940    0.001050    0.189593    0.001012
0.292058          0.209800    0.001051    0.186960    0.001007
0.299951          0.209640    0.001051    0.189167    0.001011
0.307845          0.208447    0.001049    0.189780    0.001012
0.315738          0.207420    0.001047    0.189520    0.001012
0.323631          0.206607    0.001045    0.188460    0.001010
0.331525          0.207167    0.001046    0.187807    0.001008
0.339418          0.207847    0.001048    0.188320    0.001009
0.347312          0.206467    0.001045    0.186093    0.001005
0.355205          0.205760    0.001044    0.185000    0.001003
0.363099          0.204993    0.001042    0.187867    0.001009
0.370992          0.206087    0.001044    0.186340    0.001005
0.378886          0.203827    0.001040    0.184700    0.001002
0.386779          0.203793    0.001040    0.184587    0.001002
0.394672          0.201660    0.001036    0.183720    0.001000
0.402566          0.200133    0.001033    0.182540    0.000997
0.410459          0.201100    0.001035    0.183533    0.000999
0.418353          0.201560    0.001036    0.181293    0.000995
0.426246          0.200553    0.001034    0.180393    0.000993
0.434140          0.198753    0.001030    0.179120    0.000990
0.442033          0.199220    0.001031    0.179053    0.000990
0.449927          0.195567    0.001024    0.177280    0.000986
0.457820          0.195647    0.001024    0.176353    0.000984
0.465713          0.194487    0.001022    0.174227    0.000979
0.473607          0.193993    0.001021    0.174107    0.000979
0.481500          0.193773    0.001021    0.174813    0.000981
0.489394          0.192920    0.001019    0.174473    0.000980
0.497287          0.191533    0.001016    0.174473    0.000980
0.505181          0.188453    0.001010    0.172053    0.000975
0.513074          0.188793    0.001010    0.170387    0.000971
0.520968          0.185520    0.001004    0.168287    0.000966
0.528861          0.186453    0.001006    0.165833    0.000960
0.536755          0.181693    0.000996    0.166167    0.000961
0.544648          0.180393    0.000993    0.163200    0.000954
0.552541          0.180433    0.000993    0.162353    0.000952
0.560435          0.177447    0.000986    0.159867    0.000946
0.568328          0.172600    0.000976    0.158253    0.000942
0.576222          0.171720    0.000974    0.155787    0.000936
0.584115          0.168540    0.000967    0.154353    0.000933
0.592009          0.166847    0.000963    0.151540    0.000926
0.599902          0.165347    0.000959    0.149060    0.000920
0.607796          0.164227    0.000957    0.149547    0.000921
0.615689          0.162833    0.000953    0.146973    0.000914
0.623582          0.160087    0.000947    0.144847    0.000909
0.631476          0.159193    0.000945    0.141893    0.000901
0.639369          0.155067    0.000935    0.139900    0.000896
0.647263          0.153673    0.000931    0.138373    0.000892
0.655156          0.153753    0.000931    0.135327    0.000883
0.663050          0.151120    0.000925    0.133027    0.000877
0.670943          0.147547    0.000916    0.129513    0.000867
0.678837          0.145553    0.000911    0.129260    0.000866
0.686730          0.142333    0.000902    0.128847    0.000865
0.694624          0.140507    0.000897    0.125833    0.000856
0.702517          0.138013    0.000891    0.124607    0.000853
0.710410          0.137267    0.000889    0.123207    0.000849
0.718304          0.134527    0.000881    0.122307    0.000846
0.726197          0.132773    0.000876    0.119520    0.000838
0.734091          0.131740    0.000873    0.118853    0.000836
0.741984          0.128900    0.000865    0.115227    0.000824
0.749878          0.126640    0.000859    0.113400    0.000819
0.757771          0.124440    0.000852    0.110273    0.000809
0.765665          0.122520    0.000847    0.110180    0.000808
0.773558          0.120407    0.000840    0.105327    0.000793
0.781451          0.119300    0.000837    0.104587    0.000790
0.789345          0.116927    0.000830    0.104127    0.000789
0.797238          0.114933    0.000824    0.102113    0.000782
0.805132          0.113767    0.000820    0.100067    0.000775
0.813025          0.112140    0.000815    0.098000    0.000768
0.820919          0.110393    0.000809    0.097273    0.000765
0.828812          0.108840    0.000804    0.095327    0.000758
0.836706          0.106433    0.000796    0.093867    0.000753
0.844599          0.103633    0.000787    0.091380    0.000744
0.852492          0.101873    0.000781    0.090073    0.000739
0.860386          0.100433    0.000776    0.090653    0.000741
0.868279          0.097720    0.000767    0.086760    0.000727
